,MyoV Time (s),MyoV Disp (um),MyoXI Time (s),MyoXI Disp (um)
589,,,0.9520253171114552,0.072
590,,,0.9556563528751107,0.072
591,,,0.9556664500729459,0.072
592,,,0.9562183815914898,0.0
593,,,0.9564636508816582,0.0
594,,,0.9577307162695261,0.0
595,,,0.9577612172898222,0.0
596,,,0.9577612172898222,0.036
597,,,0.9628337509812779,0.036
598,,,0.9637787730635035,0.036
599,,,0.9638730250289251,0.0
600,,,0.9689873171847347,0.0
601,,,0.9693424285174013,0.0
602,,,0.9694102750294897,0.0
603,,,0.9694102750294897,0.036
604,,,0.9700436613416885,0.036
605,,,0.9752139356782417,0.036
606,,,0.9780247366301245,0.036
607,,,0.9786243883774786,0.036
608,,,0.9790249456237268,0.036
609,,,0.9790249456237268,0.072
610,,,0.9869402342224207,0.072
611,,,0.9878293124864639,0.072
612,,,0.9881240465810608,0.072
613,,,0.9881240465810608,0.108
614,,,0.988990084482567,0.108
615,,,0.9890967164824547,0.0
616,,,0.9895558096771557,0.0
617,,,0.9925943477986978,0.0
618,,,0.9980793472371152,0.0
619,,,0.9991450841127376,0.0
620,,,0.9994820045935517,0.0
621,,,0.9994820045935517,0.036
622,,,1.0003966316412116,0.036
623,,,1.0005599948289499,0.036
624,,,1.002966738943976,0.036
625,,,1.0040615617953632,0.036
626,,,1.0049382813658516,0.036
627,,,1.0049382813658516,0.072
628,,,1.0128667931046236,0.072
629,,,1.0180384686403334,0.0
630,,,1.0233256022952206,0.0
631,,,1.0250182949941626,0.0
632,,,1.0252820507827147,0.0
633,,,1.0252820507827147,0.036
634,,,1.0294709711071333,0.036
635,,,1.029697669544789,0.036
636,,,1.0299889212186608,0.036
637,,,1.0299889212186608,0.072
638,,,1.0303987128337821,0.072
639,,,1.0307495429764932,0.072
640,,,1.0310173173167767,0.072
641,,,1.0310173173167767,0.108
642,,,1.0348984908833936,0.108
643,,,1.036095646523619,0.0
644,,,1.039460770302477,0.0
645,,,1.0399746584824863,0.0
646,,,1.0410036778793605,0.0
647,,,1.0410036778793605,0.036
648,,,1.0421744699415845,0.036
649,,,1.0422034903521675,0.036
650,,,1.0435206938816135,0.036
651,,,1.0435206938816135,0.072
652,,,1.0447772631949706,0.072
653,,,1.045975934663617,0.072
654,,,1.04635704631841,0.072
655,,,1.04635704631841,0.108
656,,,1.0563322646651043,0.108
657,,,1.056643667332943,0.108
658,,,1.0571219506287575,0.0
659,,,1.0572163820897513,0.0
660,,,1.063524270476914,0.0
661,,,1.0665711349926523,0.0
662,,,1.0669782832331558,0.0
663,,,1.067109306645123,0.0
664,,,1.067109306645123,0.036
665,,,1.0819531900305384,0.036
666,,,1.082887945563102,0.036
667,,,1.0832836510447494,0.036
668,,,1.0832836510447494,0.072
669,,,1.0989002756592496,0.072
670,,,1.0991812405160841,0.0
671,,,1.1001578889859358,0.0
672,,,1.100184142266646,0.0
673,,,1.1022002612572512,0.0
674,,,1.1026101806001352,0.0
675,,,1.1026943369716866,0.0
676,,,1.1026943369716866,0.036
677,,,1.105381648358926,0.036
678,,,1.1067228421921262,0.036
679,,,1.107005506281662,0.036
680,,,1.107005506281662,0.072
681,,,1.1115987352193129,0.072
682,,,1.115075342398609,0.0
683,,,1.116178710497512,0.0
684,,,1.1175863588633854,0.0
685,,,1.1177229134099944,0.0
686,,,1.1177897029784818,0.0
687,,,1.1181789044298283,0.0
688,,,1.1181789044298283,0.036
689,,,1.1198207303344825,0.036
690,,,1.1233309599766885,0.036
691,,,1.1245542575864418,0.036
692,,,1.1245542575864418,0.072
693,,,1.1313407292232798,0.072
694,,,1.133029770054109,0.072
695,,,1.1356746418126926,0.072
696,,,1.1359500658449226,0.072
697,,,1.1360202874079386,0.0
698,,,1.1391070773231506,0.0
699,,,1.1391168095319175,0.0
700,,,1.1475375718473861,0.0
701,,,1.1491287982105929,0.0
702,,,1.1499483467308655,0.0
703,,,1.150093563668304,0.0
704,,,1.1501002006232381,0.0
705,,,1.1517787930034773,0.0
706,,,1.1523792292091324,0.0
707,,,1.1534678293791165,0.0
708,,,1.1534678293791165,0.036
709,,,1.1543063719329938,0.036
710,,,1.1548774083243059,0.036
711,,,1.1558953265870615,0.036
712,,,1.1558953265870615,0.072
713,,,1.1587084876231666,0.072
714,,,1.1587773390011025,0.072
715,,,1.1593790945596423,0.072
716,,,1.1593790945596423,0.108
717,,,1.1690118411105699,0.108
718,,,1.1694841808345275,0.108
719,,,1.1695363065303193,0.0
720,,,1.169803077590232,0.0
721,,,1.171025074452884,0.0
722,,,1.1851666142536788,0.0
723,,,1.186394217868819,0.0
724,,,1.187881307287582,0.0
725,,,1.1884993480043624,0.0
726,,,1.1886695064739774,0.0
727,,,1.1886695064739774,0.036
728,,,1.1914522079924863,0.036
729,,,1.1915485403177355,0.036
730,,,1.1915656620361696,0.036
731,,,1.1915656620361696,0.072
732,,,1.1936798040490002,0.072
733,,,1.1943184119014747,0.072
734,,,1.1944864547711456,0.0
735,,,1.2097377339491002,0.0
736,,,1.2098633881855099,0.0
737,,,1.2111972477000963,0.0
738,,,1.2111972477000963,0.036
739,,,1.2112689668497127,0.036
740,,,1.211482940734503,0.036
741,,,1.2122363184609783,0.036
742,,,1.2122363184609783,0.072
743,,,1.2163956710555786,0.072
744,,,1.2189074148356474,0.0
745,,,1.2202324188798999,0.0
746,,,1.221577362041864,0.0
747,,,1.2215858717236001,0.0
748,,,1.2215858717236001,0.036
749,,,1.2247497308170905,0.036
750,,,1.225641844574299,0.036
751,,,1.225817635942998,0.036
